"filename", "language", "JSON with Comments", "TypeScript", "PostCSS", "JavaScript", "MS SQL", "TypeScript JSX", "JSON", "Markdown", "comment", "blank", "total"
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/components/ui/Button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 82, 0, 0, 0, 7, 89
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/components/ui/Input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 0, 3, 42
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/components/ui/LoadingSpinner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 3, 23
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/components/ui/ProgressBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 35, 0, 0, 0, 7, 42
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/components/ui/ScreenHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 34, 0, 0, 0, 6, 40
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/components/ui/Toast.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 45, 0, 0, 0, 8, 53
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/components/ui/TopBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 68, 0, 0, 0, 7, 75
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/constants/colors.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/constants/config.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/constants/dimensions.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/auth/components/AuthGuard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 7, 27
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/auth/hooks/useAuth.ts", "TypeScript", 0, 40, 0, 0, 0, 0, 0, 0, 0, 8, 48
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/auth/store/authStore.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 10, 43
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/auth/utils/accountActions.ts", "TypeScript", 0, 139, 0, 0, 0, 0, 0, 0, 8, 20, 167
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/auth/utils/authHelpers.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 5, 39
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/camera/components/CameraViewComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 3, 27
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/camera/components/CaptureButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 34, 0, 0, 0, 6, 40
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/camera/components/DrawingToolbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 72, 0, 0, 0, 7, 79
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/camera/components/FlashControl.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 4, 27
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/camera/components/FlipButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 4, 25
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/camera/components/PreviewOverlay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 324, 0, 0, 0, 29, 353
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/camera/components/RecipientSelector.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 137, 0, 0, 0, 9, 146
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/camera/components/SkiaCanvas.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 64, 0, 0, 0, 7, 71
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/camera/components/ZoomBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 0, 7, 46
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/camera/hooks/useCamera.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 4, 31
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/camera/hooks/useCapture.ts", "TypeScript", 0, 69, 0, 0, 0, 0, 0, 0, 0, 10, 79
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/camera/hooks/useDrawing.ts", "TypeScript", 0, 70, 0, 0, 0, 0, 0, 0, 0, 10, 80
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/camera/store/cameraStore.ts", "TypeScript", 0, 86, 0, 0, 0, 0, 0, 0, 0, 16, 102
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/camera/utils/sendSnap.ts", "TypeScript", 0, 85, 0, 0, 0, 0, 0, 0, 0, 11, 96
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/chat/components/ChatInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 100, 0, 0, 0, 9, 109
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/chat/components/ConversationRow.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 113, 0, 0, 0, 8, 121
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/chat/components/MessageBubble.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 430, 0, 0, 1, 31, 462
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/chat/components/SnapReceived.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 103, 0, 0, 0, 12, 115
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/chat/components/SnapSequencePlayer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 177, 0, 0, 0, 12, 189
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/chat/components/SnapViewer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 251, 0, 0, 2, 22, 275
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/chat/components/StreakBadge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 0, 6, 34
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/chat/components/SwipeToReply.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 114, 0, 0, 0, 11, 125
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/chat/components/SystemEventBubble.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 0, 5, 36
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/chat/hooks/useConversations.ts", "TypeScript", 0, 229, 0, 0, 0, 0, 0, 0, 2, 29, 260
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/chat/hooks/useMessages.ts", "TypeScript", 0, 431, 0, 0, 0, 0, 0, 0, 0, 44, 475
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/chat/hooks/useScreenshotDetection.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 7, 52
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/chat/hooks/useStreak.ts", "TypeScript", 0, 51, 0, 0, 0, 0, 0, 0, 2, 10, 63
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/chat/hooks/useUnreadCount.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/chat/store/chatStore.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 7, 35
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/chat/store/replyStore.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/chat/utils/conversation.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 9, 39
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/chat/utils/messageHelpers.ts", "TypeScript", 0, 50, 0, 0, 0, 0, 0, 0, 0, 9, 59
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/chat/utils/openChat.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/chat/utils/streakHelpers.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/friends/components/BlockedUsers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 101, 0, 0, 0, 12, 113
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/friends/components/FriendList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 34, 0, 0, 0, 5, 39
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/friends/components/FriendRequests.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 105, 0, 0, 0, 8, 113
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/friends/components/FriendRow.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 0, 3, 34
"/home/dev/Documents/Snapchat-clone-v2/my-expo-app/src/features/friends/hooks/useFriendRequest.ts", "TypeScript", 0, 220, 0, 0, 0, 0, 0, 0, 0, 25, 245
